standard,rep,value
solid,1,132.18
solid,2,130.77
solid,3,132.09
blank,1,0.04
blank,2,0.05
blank,3,0.03
a,1,195.09
a,2,194.65
a,3,195.71
b,1,328.91
b,2,330.96
b,3,327.34
c,1,569.98
c,2,574.12
c,3,569.76
d,1,1125.46
d,2,1123.72
d,3,1118.43
e,1,2603
e,2,2599.55
e,3,2604.51
f,1,1736.71
f,2,1737.18
f,3,1758.7
