standard,rep,value,concentration
solid,1,1948.83,
solid,2,1935.06,
blank,1,381.65,
blank,2,373.8,
blank,3,372.58,
F,1,387.13,5.3
F,2,387.55,5.3
F,3,381.74,5.3
E,1,385.17,12.8
E,2,388.57,12.8
E,3,385.39,12.8
D,1,406.39,25.6
D,2,398.73,25.6
D,3,392.08,25.6
C,1,433.29,52.3
C,2,428.76,52.3
C,3,423.91,52.3
B ,1,715.07,260.4
B,2,705.24,260.4
B,3,701.55,260.4
A,1,1084.2,534
A,2,1092.66,534
A,3,1100.49,534
1,1,3061.76,2136
1,2,3044.97,2136
1,3,3035.27,2136
