standard,rep,value
solid,1,132.18
solid,2,130.77
solid,3,132.09
blank,1,0.04
blank,2,0.05
blank,3,0.03
f,1,195.09
f,2,194.65
f,3,195.71
e,1,328.91
e,2,330.96
e,3,327.34
d,1,569.98
d,2,574.12
d,3,569.76
c,1,1125.46
c,2,1123.72
c,3,1118.43
a,1,2603
a,2,2599.55
a,3,2604.51
b,1,1736.71
b,2,1737.18
b,3,1758.7
g,1,15.61
g,2,15.64
g,3,15.53
