standard,rep,value
solid,1,156.13
blank,1,0.03
blank,2,0.01
blank,3,0.03
F,1,204.53
F,2,203.5
F,3,202.94
E,1,342.8
E,2,342.21
E,3,341.65
D,1,616.29
D,2,613.65
D,3,643.76
C,1,1215.26
C,2,1198.41
C,3,1179.58
B ,1,1796.88
B,2,1797.17
B,3,1850.32
A,1,2664.58
A,2,2705.25
A,3,2712.49
