standard,rep,value
solid,1,1948.83
solid,2,1935.06
blank,1,381.65
blank,2,373.8
blank,3,372.58
F,1,387.13
F,2,387.55
F,3,381.74
E,1,385.17
E,2,388.57
E,3,385.39
D,1,406.39
D,2,398.73
D,3,392.08
C,1,433.29
C,2,428.76
C,3,423.91
B ,1,715.07
B,2,705.24
B,3,701.55
A,1,1084.2
A,2,1092.66
A,3,1100.49
1,1,3061.76
1,2,3044.97
1,3,3035.27
